index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
05881,1953,1953-07-16,3,24.18,24.18,24.18,24.18,24.18,790000,0,0,0,0,0,0,1,0,0,0,0,0
05882,1953,1953-07-17,4,24.35,24.35,24.35,24.35,24.35,840000,0,0,0,0,0,0,1,0,0,0,0,0
05883,1953,1953-07-20,0,24.22,24.22,24.22,24.22,24.22,830000,0,0,0,0,0,0,1,0,0,0,0,0
05884,1953,1953-07-21,1,24.16,24.16,24.16,24.16,24.16,850000,0,0,0,0,0,0,1,0,0,0,0,0
05885,1953,1953-07-22,2,24.19,24.19,24.19,24.19,24.19,900000,0,0,0,0,0,0,1,0,0,0,0,0
05886,1953,1953-07-23,3,24.23,24.23,24.23,24.23,24.23,1000000,0,0,0,0,0,0,1,0,0,0,0,0
05887,1953,1953-07-24,4,24.23,24.23,24.23,24.23,24.23,890000,0,0,0,0,0,0,1,0,0,0,0,0
05888,1953,1953-07-27,0,24.07,24.07,24.07,24.07,24.07,1210000,0,0,0,0,0,0,1,0,0,0,0,0
05889,1953,1953-07-28,1,24.11,24.11,24.11,24.11,24.11,1080000,0,0,0,0,0,0,1,0,0,0,0,0
05890,1953,1953-07-29,2,24.26,24.26,24.26,24.26,24.26,1000000,0,0,0,0,0,0,1,0,0,0,0,0
05891,1953,1953-07-30,3,24.49,24.49,24.49,24.49,24.49,1200000,0,0,0,0,0,0,1,0,0,0,0,0
05892,1953,1953-07-31,4,24.75,24.75,24.75,24.75,24.75,1320000,0,0,0,0,0,0,1,0,0,0,0,0
05893,1953,1953-08-03,0,24.84,24.84,24.84,24.84,24.84,1160000,0,0,0,0,0,0,0,1,0,0,0,0
05894,1953,1953-08-04,1,24.78,24.78,24.78,24.78,24.78,1000000,0,0,0,0,0,0,0,1,0,0,0,0
05895,1953,1953-08-05,2,24.68,24.68,24.68,24.68,24.68,1080000,0,0,0,0,0,0,0,1,0,0,0,0
05896,1953,1953-08-06,3,24.8,24.8,24.8,24.8,24.8,1200000,0,0,0,0,0,0,0,1,0,0,0,0
05897,1953,1953-08-07,4,24.78,24.78,24.78,24.78,24.78,950000,0,0,0,0,0,0,0,1,0,0,0,0
05898,1953,1953-08-10,0,24.75,24.75,24.75,24.75,24.75,1090000,0,0,0,0,0,0,0,1,0,0,0,0
05899,1953,1953-08-11,1,24.72,24.72,24.72,24.72,24.72,940000,0,0,0,0,0,0,0,1,0,0,0,0
